Date,Price,Open,Vol.
7/8/2021,1801.1,1804.8,0.26
7/7/2021,1803,1797.1,0.15
7/6/2021,1795,1790.7,0.26
7/5/2021,1794.2,1787.5,276.6
7/2/2021,1784.1,1785.5,0.04
7/1/2021,1777.6,1777.5,0.11
6/30/2021,1772.4,1760,0.08
6/29/2021,1764.5,1764.5,239.91
6/28/2021,1780.7,1782,160.79
6/25/2021,1777.8,1775.7,161.2
6/24/2021,1776.7,1778.2,152.23
6/23/2021,1783.4,1779.1,179.27
6/22/2021,1777.4,1783.2,172.75
6/21/2021,1782.9,1764.3,195.52
6/18/2021,1769,1773.9,264.61
6/17/2021,1774.8,1812.3,385.89
6/16/2021,1861.4,1861,234.1
6/15/2021,1856.4,1867.8,155.34
6/14/2021,1865.9,1879.6,242.3
6/11/2021,1879.6,1901.9,220.46
6/10/2021,1896.4,1891.4,250.55
6/9/2021,1895.5,1894.4,147.33
6/8/2021,1894.4,1901.6,173.6
6/7/2021,1898.8,1894.3,146.02
6/4/2021,1892,1872.7,228.83
6/3/2021,1873.3,1910.5,278.58
6/2/2021,1909.9,1903,166.04
6/1/2021,1905,1906.8,290.65
5/31/2021,1905,1906.8,290.65
5/28/2021,1905.3,1899.8,198.14
5/27/2021,1898.5,1899.3,211.79
5/26/2021,1902.3,1900.5,2.01
5/25/2021,1899,1882.5,1.5
5/24/2021,1885.5,1884.3,0.84
5/21/2021,1877.6,1876.6,0.78
5/20/2021,1882.8,1871.1,0.92
5/19/2021,1882.3,1872.2,1.01
5/18/2021,1869,1868.3,0.58
5/17/2021,1868.5,1843,0.39
5/14/2021,1839.1,1827.6,0.21
5/13/2021,1825,1818.2,0.14
5/12/2021,1823.7,1838.5,0.6
5/11/2021,1837,1837.8,0.09
5/10/2021,1838.6,1835.3,0.28
5/7/2021,1832.4,1816.2,0.49
5/6/2021,1816.7,1786.6,0.28
5/5/2021,1785.3,1779.9,0.11
5/4/2021,1777,1789.4,0.08
5/3/2021,1792.6,1774.8,0.07
4/30/2021,1768.6,1770.7,0.04
4/29/2021,1769.4,1769.4,231.52
4/28/2021,1773.9,1776.4,198.58
4/27/2021,1778.8,1781.1,147.95
4/26/2021,1780.1,1776.1,143.36
4/23/2021,1777.8,1784,175.85
4/22/2021,1782,1794.5,163.75
4/21/2021,1793.1,1779.1,173.97
4/20/2021,1778.4,1770.5,169.04
4/19/2021,1770.6,1778.8,180.73
4/16/2021,1780.2,1764.8,173.5
4/15/2021,1766.8,1736.6,198.14
4/14/2021,1736.3,1746.4,145.26
4/13/2021,1747.6,1732.2,175.59
4/12/2021,1732.7,1744.5,125.36
4/9/2021,1744.8,1756.5,171.4
4/8/2021,1758.2,1738.6,144.57
4/7/2021,1741.6,1744.4,122.8
4/6/2021,1743,1729.2,152.6
4/5/2021,1728.8,1730,101.75
4/1/2021,1728.4,1709,170.43
3/31/2021,1715.6,1685.9,210.77
3/30/2021,1686,1713,225.87
3/29/2021,1713.6,1732.5,2.56
3/26/2021,1733.6,1727.4,0.62
3/25/2021,1726.3,1735,0.92
3/24/2021,1734.4,1727.6,0.27
3/23/2021,1726.4,1740.4,0.5
3/22/2021,1739.4,1747.8,0.36
3/19/2021,1742.9,1735.2,0.26
3/18/2021,1733.7,1745.5,0.25
3/17/2021,1728.4,1732,0.52
3/16/2021,1732.2,1733.7,0.37
3/15/2021,1730.6,1729.3,0.22
3/12/2021,1721.2,1721.3,0.23
3/11/2021,1723.9,1725.6,0.21
3/10/2021,1723.3,1714.3,0.19
3/9/2021,1718.5,1686.9,0.15
3/8/2021,1679.6,1703.9,0.16
3/5/2021,1700.3,1689.2,0.1
3/4/2021,1702.4,1709.5,0.08
3/3/2021,1717.3,1732.4,0.09
3/2/2021,1735.1,1720.2,0.06
